施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊に係る対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
旭川レディースクリニック,070-0033,北海道旭川市3条通2丁目429-683十字屋ビル2Ｆ,0166-25-3110,,有,"月・火・水・金9：00～13：00，14：30～
18：00
木・第１土，第３土，第５土9：00～
11：30",有,北海道,旭川市,43.770184,142.351959
"医療法人社団健和会和田
産婦人科医院",070-0034,北海道旭川市４条通１５丁目右８号,0166-23-3521,http://potato.hokkai.net/-wada/,有,"月・火・水・金9：00～12：00，14：00～
17：30
木・土9：00～12：00",有,北海道,旭川市,43.765575,142.37233
小樽市立病院,047-8550,北海道小樽市若松1丁目1番1号,0134-25-1211,https://www.otaru-general-hospital.j,p有,"平日8:00～17:00
※平日も来院前に必ず事前連絡が
必要。
※土・日は事前連絡にて確認必要、
医師対応可能時のみ。",無,北海道,小樽市,43.185734,141.007629
"医療法人社団
新開レディースクリニック",047-0032,北海道小樽市稲穂2丁目9番11号ツルハビル3F,0134-24-6800,http:www/shinkai-lc.com/,有,"月･火･水･金曜9:00～12:00、14:00～
18:00
第1、3、5土曜9:00～13:00",有,北海道,小樽市,43.198162,140.996521
おたるレディースクリニック,047-0032,北海道小樽市稲穂4丁目1番7号,0134-25-0303,www.otaru-ladies.com,有,"月･木9:00～12:00、14:00～17:00
火･金9:00～12:00、14:00～19:00
水9:00～12:00
土9:00～14:00",有,北海道,小樽市,43.201809,140.996048
函館中央病院,040-8585,北海道函館市本町33番2号,0138-52-1231,http://www.chubyou.com/,有,平日 9:00-17:00 土曜 9:00-13:00,有,北海道,函館市,41.78643,140.751053
秋山記念病院,041-0802,北海道函館市石川町41番地9,0138-46-6660,http://akiyama.hakodate.jp/,有,"平日9:00－17:30土9:00－13:30日祝
9:30－11:30",有,北海道,函館市,41.827518,140.740784
市立函館病院,041-8680,北海道函館市港町1丁目10番1号,0138-43-2000,"http://www.hospital.hakodate.hokkai
do.jp",有,平日8:30－11:30,有,北海道,函館市,41.804401,140.72966
共愛会病院,040-8577,北海道函館市中島町7番21号,0138-51-2111,http://www.kyoaikai-hosp.com/,有,"平日9:00－11:30/13:00-16:00土9:00
－11:30",有,北海道,函館市,41.785488,140.741135
岡和田産婦人科医院,040-0072,北海道函館市亀田町20番14号,0138-42-5588,,有,"月火木金9:00－16:30水土9:00－
11:30",有,北海道,函館市,41.79895,140.73407
三浦レディースクリニック,040-0011,北海道函館市本町20番1号,0138-51-2357,,有,"月火木金9:00－12:00/14:00－17:30
水土9:00－12:00",有,北海道,函館市,41.789986,140.75441
"医療法人社団藤松産婦人
科医院",041-0852,北海道函館市鍛治2丁目24番5号,0138-55-2280,,有,"月火金9:00－12:00/14:00-17:00水
9:00－12:00/14:00-18:00木土9:00-
12:00",有,北海道,函館市,41.809357,140.763901
"医療法人社団陵仁会えん
どう桔梗マタニティークリ
ニック",041-0808,北海道函館市桔梗5丁目7番15号,0138-47-3001,http://www.endo-kikyo.or.jp,有,365日24時間,有,北海道,函館市,41.849117,140.733917
"医療法人社団産科婦人科
白鳥クリニック",040-0082,北海道函館市白鳥町13番18号,0138-44-5588,http://www1.ncv.ne.jp/-swan5588/,有,"月火木金9:00－12:00/14:00－17:45
水8:00－11:30午後休診土9:00－
12:00午後休診",有,北海道,函館市,41.795616,140.745911
"医療法人社団明誠会こじま
産婦人科",041-0832,北海道函館市神山1丁目12番9号,0138-55-5252,http://kojima-ml.com,有,平日10:00-18:00土日10:00-12:00,有,北海道,函館市,41.813511,140.760696
湯の川女性クリニック,042-0932,北海道函館市湯川町2丁目17番18号,0138-59-0006,http://www.yunokawa-jc.com,有,"（祝日を除く）月火水金9:00－
12:00/14:00－18:00木土9:00－12:00",有,北海道,函館市,41.780483,140.791321
"産婦人科ほんどおりクリ
ニック",041-0851,北海道函館市本通1丁目44番10号,0138-31-5855,,有,"月火木10:00－12:30/14:00－17:30
水10:00－12:30/14:00－17:30※第
2，第4水曜は午後手術日※第5水曜
は16:30最終受付金10:00－12:30午
後手術日土10:00－12:30午後休診",有,北海道,函館市,41.79707,140.766129
"宮の沢スマイルレディー
スクリニック",063-0061,"北海道札幌市西区西町北２０丁目２－１２ SR宮の沢メディ
カルⅡビル２階",011-590-1213,https://www.miyanosawa-smile-lc.co,m有/,"月・金 9:00～17:00
火・木 9:00～20:00
水・土 9:00～12:00",有,北海道,札幌市西区,43.087982,141.275681
苫小牧市立病院,053-8567,北海道苫小牧市清水町１丁目５番２０号,0144-33-3131,"http://www.city.tomakomai.hokkaido
.jp/hospital/",有,平日８時４５分～１７時１５分,有,北海道,苫小牧市,42.653072,141.602753
