施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,緯度,経度
成田レディスクリニック,349-0114,埼玉県蓮田市馬込2172-1,048-769-5511,http://www.naritalc.jp,有,"平日9:00-11:45、14:00-16:30
土曜9:00-11:45、13:30-14:30",有,埼玉県,蓮田市,35.965584,139.653397
玉井産婦人科医院,345-0025,埼玉県杉戸町清地1-2-30,0480-33-2464,,有,"月火木金土9:00-12:00、14:00-17:30
水9:00-12:00",有,埼玉県,北葛飾郡杉戸町,36.027561,139.733459
医療法人長岡産婦人科医院,345-0036,埼玉県杉戸町杉戸2-3-10,0480-33-3325,https://www.nagaoka-clinic.com,有,"月火水金土9:00～12:00/14:00～17:30
第１・３日曜9:00～12:00
第４土曜休診",有,埼玉県,北葛飾郡杉戸町,36.030903,139.728912
医療法人熊谷総合病院,360-8567,埼玉県熊谷市中西4-5-1,048-521-0065,http://www.kumasou.or.jp/,有,婦人科待機医登録日は２４時間,有,埼玉県,熊谷市,36.14838,139.396561
藤間病院,360-0031,埼玉県熊谷市末広2-137,048-522-0600,http://www.ksky.ne.jp/-tomaadmi/,有,原則２４時間対応(婦人科医不在時を除く）,有,埼玉県,熊谷市,36.143852,139.394394
深谷赤十字病院,366-0052,埼玉県深谷市上柴町西5-8-1,048-571-1511,http://www.fukaya.jrc.or.jp/,有,平日、休日ともに２４時間対応,有,埼玉県,深谷市,36.183231,139.294464
医療法人良仁会桜ケ丘病院,366-0033,埼玉県深谷市国済寺408-5,048-571-1171,http://www.sakuragaoka-hospital.jp/,有,平日9:00-17:30、土曜9:00-11:30,無,埼玉県,深谷市,36.190956,139.293762
医療法人信猶会菊地病院,366-0801,埼玉県深谷市上野台371,048-571-0660,http://www.kikuchi-hosp.or.jp/,有,"平日９時～１２時、１６時～１８時
土曜９時～１２時",有,埼玉県,深谷市,36.189587,139.278534
ティアラ２１女性クリニック,360-0037,埼玉県熊谷市筑波3-202 ﾃｨｱﾗ21-501,048-527-1122,http://www.dr-masami.com,有,平日、休日 10：00-12：00,有,埼玉県,熊谷市,36.139412,139.392044
平田クリニック,360-0015,埼玉県熊谷市肥塚4丁目205,048-526-1171,http://www.hirata-clinic.com/,有,"平日 9：00-12：30、15：00-18：00
土曜 9：00-12：30",有,埼玉県,熊谷市,36.162083,139.390579
医療法人岳洋会 彩花クリニック,369-1246,埼玉県深谷市小前田2533-1,048-584-7205,http://www.saika-clinic.com/,有,"平日9：00-12：00、15：00-18：45（新患は
18：30まで）
土曜9：00-12：00、15：00-16：45（新患は
16：30まで）",有,埼玉県,深谷市,36.133347,139.220398
福島医院,366-0801,埼玉県深谷市上野台2778-1,048-571-0924,-,有,"平日 9：00-12：00
土曜 9：00-12：00",有,埼玉県,深谷市,36.181007,139.277023
市川医院,369-1203,埼玉県寄居町寄居1056,048-581-0535,http://www.ichikawaiin.jp,有,"月,火,木,金 9：00～12：00、15：00～18：00
水,土 9：00～12：00",有,埼玉県,大里郡寄居町,36.115154,139.192841
医療法人飛翔会 松本産婦人科医院,367-0054,埼玉県本庄市千代田1-1-26,0495-24-3377,http://matsumotoc.org,有,"AM 9:00-12:00 PM 3:00-6:00
（木・土はAMのみ）",有,埼玉県,本庄市,36.239807,139.181671
昭和産婦人科,367-0041,埼玉県本庄市駅南1-5-23,0495-22-2025,http://www.myclinic.ne.jp/syouwa/pc/,有,"平日 8:00-18:00
土曜 8:00-17:00",有,埼玉県,本庄市,36.236015,139.183929
池田レディースクリニック,367-0062,埼玉県本庄市小島南3-1-12,0495-22-2048,,有,"平日 8:30-17:30
火曜、木曜 8：30-12：00
第２土曜 休",有,埼玉県,本庄市,36.240868,139.16684
