施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯（祝日のある週は診療日が異なる可能性がありますので事前に対応可能か電話で確認することをおすすめします。）,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
医療法人 茜草会 あかね医院,471-0067,愛知県豊田市栄生町４－１３－６,0565-37-8686,http://www.akane-clinic.net,有,"月水木金 9:00～12:00
火9:00～12:00 17:00～19:00
土 9:00～12:00",有,愛知県,豊田市,23211,35.100826,137.1521
独立行政法人労働者健康安全機構旭労災病院,488-8585,愛知県尾張旭市平子町北61,0561-54-3131,https://www.asahih.johas.go.jp/,有,月～金 8:15～17:00,無,愛知県,尾張旭市,23226,35.223755,137.016907
津島市民病院,496-8537,愛知県津島市橘町3-73,0567-28-5151,http://www.tsushimacity-hp.jp/,有,緊急避妊の場合は24時間対応,有,愛知県,津島,,35.173344,136.738327
公立陶生病院,489-8642,愛知県瀬戸市西追分町１６０番地,0561-82-5101,http://www.tosei.or.jp/,有,"月～金 8:30～11:00（産婦人科外来通常受付時間）
※救急外来は、平日時間外、土、日、祝日、年末年始も対応",有,愛知県,瀬戸市,23204,35.225632,137.082642
一宮市立市民病院,491-8558,愛知県一宮市文京2-2-22,0586-71-1911,https://municipal-hospital.ichinomiya.aichi.jp/,有,緊急避妊の場合は24時間対応,有,愛知県,一宮市,23203,35.312656,136.806808
春日井市民病院,486-8510,愛知県春日井市鷹来町1-1-1,0568-57-0057,https://www.hospital.kasugai.aichi.jp/,有,緊急の場合は24時間対応可能,有,愛知県,春日井市,23206,35.271759,136.969574
社会医療法人志聖会 総合犬山中央病院,484-8511,愛知県犬山市大字五郎丸字二夕子塚6,0568-62-8111,https://www.inuyamachuohospital.or.jp/,有,"月～金 8:00～17:00
土 8:00～13:00",有,愛知県,犬山市,23215,35.364418,136.945648
江南厚生病院,483-8704,愛知県江南市高屋町大松原137,0587-51-3333,http://www.jaaikosei.or.jp/konan/,有,緊急避妊の場合は24時間対応可,有,愛知県,江南市,23217,35.355091,136.877869
半田市立半田病院,475-8599,愛知県半田市東洋町2丁目29番地,0569-22-9881,https://www.handa-hosp.jp/,有,緊急避妊の場合は24時間対応可,有,愛知県,半田市,23205,34.892151,136.938858
医療法人双葉会 藤田病院,475-0858,愛知県半田市泉町111-18,0569-21-0951,http://www.fujita-hp.com/,有,"月水金 9:00～12:00 14:00～15:00 18:00～19:00
火木土 9:00～12:00 14:00～15:00",有,愛知県,半田市,23205,34.895397,136.926666
愛知県厚生農業協同組合連合会知多厚生病院,470-2404,愛知県知多郡美浜町大字河和字西谷81-6,0569-82-0395,https://chita.jaaikosei.or.jp/,有,月～金 8:10～11:40,有,愛知県,知多郡美浜町,23446,34.775185,136.90625
常滑市民病院,479-8510,愛知県常滑市飛香台3-3-3,0569-35-3170,http://www.tokonamecityhospital.jp/,有,緊急避妊は24時間対応,有,愛知県,常滑市,23216,34.896324,136.852585
公立西知多総合病院,477-8522,愛知県東海市中ﾉ池3-1-1,0562-33-5500,http://www.nishichita-hp.aichi.jp/,有,月～金 8:30～17:15,有,愛知県,東海市,23222,34.999187,136.899323
刈谷豊田総合病院,448-8505,愛知県刈谷市住吉町５丁目１５番地,0566-21-2450,http://www.toyota-kai.or.jp/,有,緊急避妊の場合は24時間対応可,有,愛知県,刈谷市,23210,34.983463,137.005905
ピーチベルクリニック,446-0061,愛知県安城市新田町小山117,0566-76-8311,https://www.peachbells.jp/,有,"月火金 9:00～12:30 16:00～19:00
水木土 9:00～12:30",有,愛知県,安城市,23212,34.968533,137.088562
豊川市民病院,442-8561,愛知県豊川市八幡野路23,0533-86-1111,https://www.toyokawa-ch-aichi.jp/,有,"月～金 8:30～12:30
※ 性的被害者は24時間対応",有,愛知県,豊川市,23207,34.8367,137.341629
足立産婦人科,491-0858,愛知県一宮市栄1-3-4,0586-24-0522,https://www.adachisan.jp/,有,"月～金 9:00～12:00 17:00～19:00
土 9:00～12:00",有,愛知県,一宮市,23203,35.305958,136.798615
おおにしブレストウィメンズクリニック,494-0001,愛知県一宮市開明字畑添14-1,0586-61-6611,https://onishi-bw-clinic.com/,有,"月火水金 9:00～12:30 17:00～18:30（午後は予約制：救急対応は個別）
土 9:00～12:30",有,愛知県,一宮市,23203,35.315567,136.753479
可世木レディスクリニック,491-0905,愛知県一宮市平和1-9-26,0586-47-7333,http://funin-kaseki.com/,有,"月火水金 9:00～12:30 16:30～19:30
木土 9:00～12:30",有,愛知県,一宮市,23203,35.301655,136.793076
メイプルベルクリニック,494-0001,愛知県一宮市開明字蒲原21番地,0586-62-7855,https://maplebell.jp/,有,緊急の場合は24時間対応可,有,愛知県,一宮市,23203,35.312176,136.760956
田中クリニック,491-0859,愛知県一宮市本町4-19-24,0586-72-2686,https://itp.ne.jp/info/239886380300000899/,有,"月火水金 9:00～12:30 17:00～19:00
木土 9:00～12:30",有,愛知県,一宮市,23203,35.299194,136.801987
つかはらレディースクリニック,491-0871,愛知県一宮市浅野字居森野71-1,0586-81-8000,http://www.tsukahara-l-c.jp/,有,"月火木金 9:00～12:00 17:00～19:00
水土 9:00～12:00",有,愛知県,一宮市,23203,35.300194,136.828857
てしがわらレディスクリニック,491-0932,愛知県一宮市大和町毛受浜田18,0586-43-7788,－,有,"月木金 9:00～12:00 17:00～19:00
火土 9:00～12:00",有,愛知県,一宮市,23203,35.297859,136.779236
セブンベルクリニック,492-8144,愛知県稲沢市小池4丁目122,0587-33-7877,http://www.sevenbells.jp/,有,緊急の場合は24時間対応可,有,愛知県,稲沢市,23220,35.246468,136.812943
三輪産婦人科小児科,492-8271,愛知県稲沢市石橋2-150,0587-21-2332,https://www.miwa-clinic.jp/,有,"月火木金 9:00～12:00 17:00～20:00
水土 9:00～12:00",有,愛知県,稲沢市,23220,35.260086,136.782104
中原クリニック,489-0989,愛知県瀬戸市山手町327,0561-88-0311,https://www.nakanic.com/,有,"月火水金 9:00～12:00 17:00～19:00
木土 9:00～12:00",有,愛知県,瀬戸市,23204,35.231415,137.068207
クリニックベル,489-0915,愛知県瀬戸市北浦町3-16,0561-83-2828,http://clinicbell.or.jp/0,有,緊急避妊の場合は24時間対応可,有,愛知県,瀬戸市,23204,35.220276,137.072006
浅野産婦人科,488-0867,愛知県尾張旭市城前町4-1-9,0561-53-7500,http://www.asanosanfujinka.jp/,有,緊急避妊の場合は24時間対応,有,愛知県,尾張旭市,23226,35.214123,137.024963
いしかわレディースクリニック,488-0047,愛知県尾張旭市南栄町黒石64-5,0561-55-3800,https://www.ishikawa-lc.jp/,有,"月火水金 9:00～12:00 16:30～19:30
木 9:00～12:00
土 9:00～12:30",無,愛知県,尾張旭市,23226,35.193325,137.031372
医療法人伊藤ウィメンズクリニック,480-1172,愛知県長久手市宮脇917,0561-62-6320,－,有,"月 9:00～12:00 17:00～19:30
火 9:00～12:00 13:30～15:30
水金 9:00～12:00 13:30～15:30 17:00～19:30
木土 9:00～12:00",有,愛知県,長久手市,23238,35.176884,137.040436
アキラレディスクリニック,470-1121,愛知県豊明市西川町広原5,0562-93-7333,http://akira-ladiesclinic.com/,有,"月火木金 9:00～12:00 17:00～19:00
水土 9:00～12:00",有,愛知県,豊明市,23229,35.063049,137.013885
寺島レディスクリニック,470-0115,愛知県日進市折戸町枯木166,0561-74-0311,－,有,"月金 9:30～12：30 15:30～17:30
火木 9:30～12：30 15:30～18:30
土 9:30～12：30",有,愛知県,日進市,23230,35.113529,137.051483
ともまつレディスクリニック,470-0113,愛知県日進市栄2-1201 ガーデンセラム1F,0561-75-4755,－,有,"月～金 9:30～12:30 17:00～19:00
土 9:30～12:30",有,愛知県,日進市,23230,35.119991,137.049271
レディースクリニックアンジュ,470-0135,愛知県日進市岩崎台1丁目1202,0561-74-1101,http://www.lc-ange.com/,有,"月木金 9:00～12:00 17:00-19:00
火水土 9:00～12:00",有,愛知県,日進市,23230,35.147724,137.023529
医療法人森永産婦人科,486-0836,愛知県春日井市八事町3-46,0568-81-1303,https://www.morinaga-mc.jp/,有,"月水金 8:30～12:00 17:00～19:00
火木土 8:30～12:00",有,愛知県,春日井市,23206,35.244473,136.980164
神領マタニティ,486-0829,愛知県春日井市堀ノ内町3丁目7番地9,0568-87-4103,http://www.jinryou.jp/,有,"月水木土 8:30～11:30
火金 8:30-11:30 16:00～17:30",有,愛知県,春日井市,23206,35.254211,137.008148
かすがいマタニティクリニック,486-0903,愛知県春日井市前並町字東屋敷103,0568-36-0301,http://kasugai-mc.net/index.php,有,"月火木金 9:00～12:00 16:00～19:00
水土日 9:00～12:00",有,愛知県,春日井市,23206,35.261314,136.94693
医療法人雄峰会まのウィメンズクリニック,486-0931,愛知県春日井市松新町2-5,0568-36-0303,http://www.manowomensclinic.com/clinic.html,有,"月木土 8:30～11:30
火水金 8:30～11:30 16:30～19:00
※ 未婚の未成年者は保護者同伴とする",有,愛知県,春日井市,23206,35.232502,136.958969
医療法人友愛会 ミナミ産婦人科,485-0004,愛知県小牧市田県町47,0568-75-3882,－,有,"月水金 8:30～12:00 17:30～20:00
火木土 8:30～12:00",有,愛知県,小牧市,23219,35.315914,136.942627
みわレディースクリニック,485-0041,愛知県小牧市小牧2-582,0568-76-2603,http://www.miwalc.jp/,有,"月水金 9:00～13:00 17:00～19:30
火水土 9:00～13:00",有,愛知県,小牧市,23219,35.291588,136.926361
産科・婦人科 ミナミクリニック,485-0829,愛知県小牧市小牧原4-38-1,0568-75-3732,https://sankafujinka-minami-cl.jp/,有,緊急避妊の場合は24時間対応可,有,愛知県,小牧市,23219,35.303139,136.927383
マザークリニックハピネス,484-0096,愛知県犬山市塔野地西１－４－６,0568-63-4103,http://www.ootuka-lc.com/mother/,有,"月水金 9:30-12:00 16:30-18:30
火木土 9:30-12:00",有,愛知県,犬山市,23215,35.372372,136.957184
まつかわクリニック,483-8313,愛知県江南市村久野町中郷213-1,0587-57-8003,http://matsukawa-m-c.jp/,有,"月火木金 9:00～12:00 16:00～19:00
水土 9:00～12:00",有,愛知県,江南市,23217,35.357883,136.871826
若山産婦人科医院,483-8331,愛知県江南市古知野町高瀬41,0587-55-0230,https://www.wakayama-clinic.com/,有,"月水金 9:00～12:30 16:30～19:00
火木土 9:00～12:30",有,愛知県,江南市,23217,35.343479,136.868042
医療法人尚生会 やまだ産婦人科,483-8063,愛知県江南市高屋町八幡116,0587-54-7511,https://www.yamada-og.or.jp/,有,"月火水金 9:00～12:30 17:00～19:00
木土 9:00～12:30",有,愛知県,江南市,23217,35.345779,136.87854
医療法人おおわきレディスクリニック,483-8155,愛知県江南市南山町中225-2,0587-56-3556,http://ohwaki.byoinnavi.jp/pc/,有,"月水金 8:30～12:00 17:30～20:00
水木土 8:30～12:00",有,愛知県,江南市,23217,35.314884,136.877197
大野レディスクリニック,482-0012,愛知県岩倉市稲荷町高畑10,0587-37-3323,https://www.ohno-clinic.jp/,有,月～土曜日 9：00～12：00,有,愛知県,岩倉市,23228,35.268856,136.870468
小林産婦人科,481-0033,愛知県北名古屋市西之保深坪82-2,0568-22-3320,－,有,"月水金 9:00～12:00 17:00～19:00
火木土 9:00～12:00",有,愛知県,北名古屋市,23234,35.243092,136.865814
藤の花レディースクリニック,481-0037,愛知県北名古屋市鍛冶ヶ一色東1-3,0568-23-8008,http://www.fujinohana-ladies.com/,有,"月火木金 9:00～11:30 16:00～18:00
水土 9:00～11:30",有,愛知県,北名古屋市,23234,35.245659,136.865967
大橋産婦人科クリニック,496-0031,愛知県津島市埋田町2-63,0567-26-7111,https://www.ohashi-lc.com/,有,"月水金 8:45～12:00 16:00～18:00
火木土 8:45～12:00",有,愛知県,津島市,23208,35.174206,136.741531
貴子ウィメンズクリニック,496-0868,愛知県津島市申塚町1-122,0567-23-5786,https://takako-womens-clinic.com/,有,"月 9:00～12:00 15:30～17:30
水 9:00～12:00 16:00～18:00
金 9:00～12:00 16:30～18:00
火木 9:00～12:00",有,愛知県,津島市,23208,35.185047,136.719101
医療法人雄峰会 真野産婦人科,496-0027,愛知県津島市大字津島字北新開128-1,0567-26-4556,http://www.yuhookai.jp/Mano00_top.html,有,"月水木 8:30～11:30
火金 8:30～11:30 16:30～19:00
※ 未婚の未成年者は保護者同伴に限り対応",有,愛知県,津島市,23208,35.176651,136.750656
産婦人科佐屋クリニック,496-0901,愛知県愛西市佐屋町宅地207,0567-28-0311,http://www.saya-clinic.jp,有,"月火水金 9:00～12:00 16:30～18:30
木土 9:00～12:00",有,愛知県,愛西市,23232,35.149506,136.712601
富田レディースクリニック,490-1113,愛知県あま市中萱津南の川66,052-441-5811,－,有,"月水金 9:00～12:00 18:00～20:00
火木土 9:00～12:00",有,愛知県,あま市,23237,35.18708,136.833618
医療法人双葉会 ふたばクリニック,475-0977,愛知県半田市吉田町6-82,0569-20-5000,http://www.futaba-c.com/,有,"月水金 9:00～12:00 16:30～18:30
火木土 9:00～12:00",有,愛知県,半田市,23205,34.892632,136.894226
広渡レディスクリニック,470-2201,愛知県阿久比町白沢天神前27,0569-48-7703,http://www.hirowatari-ladys.com/,有,"月水金 9:00～12:00 16:00～18:30
火木 9:00～12:00",有,愛知県,知多郡阿久比町,23441,34.955189,136.914124
医療法人広川レディスクリニック,474-0055,愛知県大府市一屋町4-38,0562-44-1188,http://www.hirokawa-lc.jp/,有,"日木金 9:00～12:30 17:00～19:00
火水土 9:00～12:30
※ 時間外も相談可",有,愛知県,大府市,23223,35.029106,136.953293
医療法人慧成会 産院いしがせの森,474-0038,愛知県大府市森岡町1-193,0562-44-4134,http://ishigasenomori.com/,有,"月火金土 9:00～16:00
木 9:00～13:00 16:00～19:00",有,愛知県,大府市,23223,35.007191,136.950241
医療法人原田レディースクリニック,478-0063,愛知県知多市寺本新町1-172,0562-36-1103,http://harada-lc.com/,有,"月水金 9:00～12:00 17:00～19:00
火木 9:00～12:00
土 9:00～13:00",有,愛知県,知多市,23224,34.993938,136.877014
医療法人清風会 岡村産科婦人科,447-0879,愛知県碧南市沢渡町29,0566-41-2726,－,有,"月水金 9:00～12:00 13:30～15:30 16:00～18:30
火木 9:00～12:00 13:30～15:30
土 9:00～12:00 13:30～15:30",有,愛知県,碧南市,23209,34.88311,136.992905
医療法人 輝 ジュンレデｨースクリニック刈谷,448-0802,愛知県刈谷市末広町三丁目6番1,0566-24-0306,http://www.jun-lc-anjo.com/,有,"月～土 9:00～11:30
※ 土曜の診療は隔週のため要電話確認",有,愛知県,刈谷市,23210,34.971725,137.04451
医療法人裕修会 篠原産婦人科医院,446-0035,愛知県安城市錦町10-10,0566-76-5456,－,有,"月火水金 8:00～12:00 15:30～18:00
木土 8:00～12:00",有,愛知県,安城市,23212,34.952328,137.085419
医療法人佐野レディースクリニック,446-0026,愛知県安城市安城町西広畔114-2,0566-75-2141,http://sano-lc.jp/,有,"月火水金 9:30～12:00 16:00～18:30
土 9:30～12:00",有,愛知県,安城市,23212,34.942978,137.073715
はちウィメンズクリニック,446-0051,愛知県安城市箕輪町唐生37,0566-71-4800,http://www.hachi-clinic.jp/,有,"月水木金 9:00～12:00 16:00～19:30
土 9:30～13:30
※ 受付は終了30分前まで",有,愛知県,安城市,23212,34.959595,137.057114
医療法人 輝 ジュンレデｨースクリニック安城,446-0073,愛知県安城市篠目町童子202番8,0566-71-0308,http://www.jun-lc-anjo.com/,有,全日 24時間対応可,有,愛知県,安城市,23212,34.972691,137.064087
医療法人セントファミリアクリニック,472-0055,愛知県知立市鳥居1-18-3,0566-81-0070,https://www.st-familia.com/,有,"月 9:00～12:00 17:00～19:00
火木 9:00～12:00 PM予約制
金 9:00～15:00 17:00～19:00
土 9:00～12:00 15:00～17:00",有,愛知県,知立市,23225,35.003906,137.030609
高浜愛レディースクリニック,444-1332,愛知県高浜市湯山町3-9-6,0566-54-5161,－,有,"月火木金 8:45～12:15 15:00～18:15
土 8:45～12:00",有,愛知県,高浜市,23227,34.936001,136.996475
花レディースクリニック,470-0207,愛知県みよし市福谷町細田1-3,0561-33-0311,http://www.hana-lc.com/,有,"月火水金 9:00～11:30 17:00～18:30
木土 9:00～11:30 17:00～18:30",有,愛知県,みよし市,23236,35.122154,137.107849
医療法人愛凰会 荻野医院,441-1634,愛知県新城市長篠字下り蔵60-4,0536-32-0020,－,有,"月火木 8:30～12:00 17:00～19:00
水金 8:30～12:00",有,愛知県,新城市,23221,34.932003,137.56572
藤澤フラウエンクリニク,442-0839,愛知県豊川市四ﾂ谷町2-53,0533-84-1180,http://fujisawa-fk.com/,有,月～土 9:00～12:30,有,愛知県,豊川市,23207,34.819157,137.369827
渡辺マタニティクリニック,442-0826,愛知県豊川市牛久保町城跡36,0533-85-3511,http://watanabe-m-clinic.com,有,"月水金 9:00～12:00 15:30～18:00
火土 9:00～12:00",有,愛知県,豊川市,23207,34.80846,137.382889
医療法人 星越 加藤医院,443-0013,愛知県蒲郡市大塚町星越1-20,0533-59-7878,https://www.hoshigoe.or.jp/,有,"月 9:00～12:00
水～日 9:00～12:00 15:00～19:00",有,愛知県,蒲郡市,23214,34.809322,137.26738
オレンジベルクリニック,443-0056,愛知県蒲郡市神明町23-21,0533-68-2311,http://www.orangebell.jp/,有,緊急の場合は24時間対応,有,愛知県,蒲郡市,23214,34.825928,137.228485
マイファミリークリニック蒲郡,443-0057,愛知県蒲郡市中央本町6-7,0533-67-2626,http://www.jin-i.com/,有,"水 9:00～11:30 15:30～18:30
木～日 9:00～11:30 13:30～16:00",有,愛知県,蒲郡市,23214,34.828739,137.224442
